351 ,y0
724 ,y0
1086 ,y0
1448 ,y0
1829 ,y0
2197 ,y0
2571 ,y0
2918 ,y0
3234 ,y0
3571 ,y0
3931 ,y0
4281 ,y0
4612 ,y0
4947 ,y0
5255 ,y0
5558 ,y0
5863 ,y0
6174 ,y0
6472 ,y0
6757 ,y0
7045 ,y0
7336 ,y0
7615 ,y0
7897 ,y0
8183 ,y0
8475 ,y0
8758 ,y0
9025 ,y0
9271 ,y0
9517 ,y0
9769 ,y0
10038 ,y0
10315 ,y0
10583 ,y0
10885 ,y0
11244 ,y0
11588 ,y0
11935 ,y0
12287 ,y0
12649 ,y0
13001 ,y0
13319 ,y0
13617 ,y0
13918 ,y0
14227 ,y0
14564 ,y0
14903 ,y0
15231 ,y0
15561 ,y0
15900 ,y0
16245 ,y0
16605 ,y0
16998 ,y0
17354 ,y0
17701 ,y0
18026 ,y0
18333 ,y0
18644 ,y0
18964 ,y0
19275 ,y0
19579 ,y0
19869 ,y0
20136 ,y0
20406 ,y0
20690 ,y0
20989 ,y0
21300 ,y0
21637 ,y0
22008 ,y0
22364 ,y0
22689 ,y0
23016 ,y0
23364 ,y0
23719 ,y0
24048 ,y0
24362 ,y0
24683 ,y0
25010 ,y0
25338 ,y0
25697 ,y0
26068 ,y0
26434 ,y0
26787 ,y0
27138 ,y0
27471 ,y0
27810 ,y0
28161 ,y0
28500 ,y0
28801 ,y0
29105 ,y0
29408 ,y0
29712 ,y0
30024 ,y0
30334 ,y0
30630 ,y0
30920 ,y0
31190 ,y0
31462 ,y0
31726 ,y0
32014 ,y0
32336 ,y0
32667 ,y0
32867 ,y1
33045 ,y1
33476 ,y0
33653 ,y1
33820 ,y1
34305 ,y0
34666 ,y0
34858 ,y1
35280 ,y0
35468 ,y1
35638 ,y1
36101 ,y0
36290 ,y1
36757 ,y0
36951 ,y1
37123 ,y1
37581 ,y0
37913 ,y0
38092 ,y1
38267 ,y1
38755 ,y0
38939 ,y1
39118 ,y1
39590 ,y0
39903 ,y0
40085 ,y1
40255 ,y1
40714 ,y0
41033 ,y0
41222 ,y1
41395 ,y1
41837 ,y0
42003 ,y1
42439 ,y0
